Date,Net_Income,Depreciation,Change_in_Working_Capital,Capital_Expenditures,Investments,Operating_Cash_Flow,Free_Cash_Flow
2024-07-11,51415,9889,7146,27698,49193,68450,40752
2024-07-12,218484,13140,16577,27359,856,248201,220842
2024-07-13,-92412,9293,-1068,22519,5266,-84187,-106706
2024-07-14,292014,8718,1820,5662,47491,302552,296890
2024-07-15,46219,13699,-409,19632,-13427,59509,39877
2024-07-16,297320,7269,-1805,12267,-19834,302784,290517
2024-07-17,515804,7031,-7928,21290,-48260,514907,493617
2024-07-18,200693,8501,8010,30139,-49942,217204,187065
2024-07-19,-413524,10045,-4780,7984,-4124,-408259,-416243
2024-07-20,46196,12819,-950,16395,-411,58065,41670
2024-07-21,156235,2324,11199,19977,-20487,169758,149781
2024-07-22,-123465,13934,-19689,27751,34585,-129220,-156971
2024-07-23,-201434,9404,-17473,25610,-12275,-209503,-235113
2024-07-24,89801,5823,17788,17813,41958,113412,95599
2024-07-25,576919,9059,-10039,9957,-4906,575939,565982
2024-07-26,407492,8438,2742,6149,43983,418672,412523
2024-07-27,230115,5524,-3817,23212,-49165,231822,208610
2024-07-28,-61407,3861,-16698,30465,1176,-74244,-104709
2024-07-29,-75899,13833,-799,5015,-22175,-62865,-67880
2024-07-30,-229132,14180,13930,33856,41129,-201022,-234878
2024-07-31,-128568,10010,1315,9490,-34390,-117243,-126733
2024-08-01,460690,12071,18445,17004,-5217,491206,474202
2024-08-02,104266,12004,7216,30229,34055,123486,93257
2024-08-03,-9548,9490,-8387,8024,-33281,-8445,-16469
2024-08-04,-86920,13274,13913,26708,47701,-59733,-86441
2024-08-05,82704,7430,-13799,30227,6589,76335,46108
2024-08-06,161896,2818,-7458,23919,11970,157256,133337
2024-08-07,-159063,3089,-1238,13345,-49447,-157212,-170557
2024-08-08,23380,6905,5624,31633,-33609,35909,4276
2024-08-09,200193,11282,-17960,16462,26886,193515,177053
2024-08-10,-397669,7158,-10835,25325,-29066,-401346,-426671
2024-08-11,282377,14406,19029,11254,-28679,315812,304558
2024-08-12,15295,2051,-15751,22946,15806,1595,-21351
2024-08-13,-390728,4161,-11944,18667,-49121,-398511,-417178
2024-08-14,334595,2215,-9001,21536,-5851,327809,306273
2024-08-15,278324,5574,11254,38633,-7229,295152,256519
2024-08-16,181990,12762,15974,13769,-35090,210726,196957
2024-08-17,-3596,13249,-8179,13397,39438,1474,-11923
2024-08-18,439778,6737,8496,39189,32787,455011,415822
2024-08-19,439058,6086,-14699,31337,-32874,430445,399108
2024-08-20,110138,7077,-1933,18190,22144,115282,97092
2024-08-21,-312760,2304,-719,17102,11367,-311175,-328277
2024-08-22,-213177,3065,-13487,6040,-9718,-223599,-229639
2024-08-23,-126684,5115,-7192,35003,-31633,-128761,-163764
2024-08-24,375380,10494,-9397,37055,32426,376477,339422
2024-08-25,141889,14407,3646,17332,-15192,159942,142610
2024-08-26,-33918,8116,15626,8548,3730,-10176,-18724
2024-08-27,-306702,5004,-16066,13759,40586,-317764,-331523
2024-08-28,159026,2137,-4585,34958,18178,156578,121620
2024-08-29,-103934,7885,-11907,11501,3062,-107956,-119457
2024-08-30,-51485,4151,-4276,16969,35204,-51610,-68579
2024-08-31,412960,2115,781,26186,34033,415856,389670
2024-09-01,299877,12186,19316,33236,-16543,331379,298143
2024-09-02,27203,6025,432,19367,41300,33660,14293
2024-09-03,-237218,13113,12501,34358,16248,-211604,-245962
2024-09-04,194740,3839,11747,18578,-41581,210326,191748
2024-09-05,-280126,3561,13389,6185,18095,-263176,-269361
2024-09-06,-335025,3894,-2802,25864,-3374,-333933,-359797
2024-09-07,-432672,3884,14878,37481,3529,-413910,-451391
2024-09-08,122765,4920,2635,32524,46405,130320,97796
2024-09-09,-46450,6871,2603,15601,-26862,-36976,-52577
2024-09-10,287562,6674,-13566,34253,-1066,280670,246417
2024-09-11,163837,8945,-13457,31135,18018,159325,128190
2024-09-12,-286868,14523,-16319,18092,49356,-288664,-306756
2024-09-13,121540,7098,19675,15756,43161,148313,132557
2024-09-14,484241,14149,17722,38040,-47174,516112,478072
2024-09-15,114935,7671,7630,19766,19814,130236,110470
2024-09-16,-335022,2579,-9261,17971,12758,-341704,-359675
2024-09-17,-200590,7576,-19007,19059,-26187,-212021,-231080
2024-09-18,-1609,4371,-10088,16108,9299,-7326,-23434
2024-09-19,-215961,7847,-8098,12338,-34739,-216212,-228550
2024-09-20,387075,6689,16505,27427,29338,410269,382842
2024-09-21,132750,2787,-18624,12660,4299,116913,104253
2024-09-22,496242,11749,-18042,39740,-29605,489949,450209
2024-09-23,-91903,6240,-12668,14829,27821,-98331,-113160
2024-09-24,341910,8053,17701,14921,39997,367664,352743
2024-09-25,43747,3874,2509,31844,35611,50130,18286
2024-09-26,-326441,13031,2572,15461,-48132,-310838,-326299
2024-09-27,-130175,4778,19172,24080,-32208,-106225,-130305
2024-09-28,149572,10409,-15678,6057,-30781,144303,138246
2024-09-29,-384832,8158,-15143,35529,-33881,-391817,-427346
2024-09-30,130380,7689,-634,24235,-11254,137435,113200
2024-10-01,-10428,10640,18245,38981,-4828,18457,-20524
2024-10-02,-121184,5330,1762,5430,39161,-114092,-119522
2024-10-03,-51593,4270,-5988,13091,-31265,-53311,-66402
2024-10-04,-70364,3189,3655,16225,-37072,-63520,-79745
2024-10-05,79869,3837,16134,33531,6719,99840,66309
2024-10-06,-416896,13502,-14002,24015,11273,-417396,-441411
2024-10-07,-60123,3640,-17238,12171,37210,-73721,-85892
2024-10-08,-344919,13289,-16859,10478,-23050,-348489,-358967
2024-10-09,-43922,12435,9304,8826,-10108,-22183,-31009
2024-10-10,-210739,3496,5410,19212,-4662,-201833,-221045
2024-10-11,413,9223,-19450,33487,-32456,-9814,-43301
2024-10-12,-187320,14769,15826,37030,18925,-156725,-193755
2024-10-13,58225,9491,7213,35621,26087,74929,39308
2024-10-14,-105024,2507,13847,22656,46084,-88670,-111326
2024-10-15,-262736,14596,-56,6863,-28799,-248196,-255059
2024-10-16,126160,8219,-7463,28720,-23007,126916,98196
2024-10-17,97857,3380,1515,29545,1536,102752,73207
2024-10-18,-297050,2567,-7955,20142,31134,-302438,-322580
2024-10-19,-150589,2902,-9022,35080,-49389,-156709,-191789
2024-10-20,24158,8933,2234,25239,-45190,35325,10086
2024-10-21,4456,7178,-19552,24950,-12531,-7918,-32868
2024-10-22,-165463,4581,10257,9992,46035,-150625,-160617
2024-10-23,342132,13333,-10918,19892,44882,344547,324655
2024-10-24,361484,13651,-9375,18733,27259,365760,347027
2024-10-25,224042,10018,5468,19753,-29421,239528,219775
2024-10-26,450771,9685,10548,28604,-23020,471004,442400
2024-10-27,-118239,4216,17348,29651,-20356,-96675,-126326
2024-10-28,-390986,7248,2503,17916,839,-381235,-399151
2024-10-29,-35034,11985,-17174,21591,49449,-40223,-61814
2024-10-30,141226,14965,1084,21111,-45906,157275,136164
2024-10-31,55372,14767,545,6709,-13634,70684,63975
2024-11-01,-412031,9008,-18910,23721,12389,-421933,-445654
2024-11-02,393278,9099,-19932,24661,-36783,382445,357784
2024-11-03,119408,2890,4630,23228,31060,126928,103700
2024-11-04,-314835,3035,-6431,33338,31491,-318231,-351569
2024-11-05,51028,7727,13276,15438,-31242,72031,56593
2024-11-06,325693,6109,-3530,29074,-25330,328272,299198
2024-11-07,145904,4236,-18596,23864,-39561,131544,107680
2024-11-08,116295,2970,-4763,7597,-18868,114502,106905
2024-11-09,-347485,8344,2211,6518,-41930,-336930,-343448
2024-11-10,348778,4372,9413,8111,-45312,362563,354452
2024-11-11,439812,10800,10044,17247,45690,460656,443409
2024-11-12,222273,11845,8066,5307,-34223,242184,236877
2024-11-13,-248118,2613,-15500,23463,-9750,-261005,-284468
2024-11-14,325996,13261,-3426,21707,30139,335831,314124
2024-11-15,-329317,4015,-13119,27514,-39333,-338421,-365935
2024-11-16,446288,10737,-8650,19439,-42757,448375,428936
2024-11-17,212348,3459,-16358,38541,-3694,199449,160908
2024-11-18,-103760,14316,12451,11156,21120,-76993,-88149
2024-11-19,259813,13701,1156,15753,34454,274670,258917
2024-11-20,291946,13908,19456,6866,31097,325310,318444
2024-11-21,-63968,11984,2764,7148,41750,-49220,-56368
2024-11-22,341732,8012,8270,36784,39205,358014,321230
2024-11-23,179154,5679,12994,22332,48339,197827,175495
2024-11-24,331825,5564,-10550,15798,41338,326839,311041
2024-11-25,54397,5933,-5310,22324,-20326,55020,32696
2024-11-26,24635,9363,17308,19418,18488,51306,31888
2024-11-27,-235896,13177,11830,37660,-209,-210889,-248549
2024-11-28,484471,10220,-12339,24124,35203,482352,458228
2024-11-29,-166877,13550,-19425,13576,46286,-172752,-186328
2024-11-30,-248220,3386,-9209,6170,-41786,-254043,-260213
2024-12-01,41769,8654,10910,25853,12317,61333,35480
2024-12-02,476664,10701,13533,21795,11816,500898,479103
2024-12-03,7109,11623,10838,29021,-46078,29570,549
2024-12-04,-172772,5315,7198,6136,23300,-160259,-166395
2024-12-05,8972,8268,-4266,25626,-49611,12974,-12652
2024-12-06,636003,4831,-6540,37569,-43771,634294,596725
2024-12-07,-99410,6573,-17804,39460,-29652,-110641,-150101
2024-12-08,-81386,8754,16607,31601,38799,-56025,-87626
2024-12-09,26269,8973,13866,29486,28407,49108,19622
2024-12-10,104630,7520,-6613,11806,-4420,105537,93731
2024-12-11,-49351,4739,-2966,32626,28836,-47578,-80204
2024-12-12,91013,7420,17339,29241,4328,115772,86531
2024-12-13,286347,13438,18195,17494,-18017,317980,300486
2024-12-14,-229610,9523,13827,23617,-29158,-206260,-229877
2024-12-15,-26269,9793,-10855,23209,-45437,-27331,-50540
2024-12-16,310313,5467,-14246,38174,-48835,301534,263360
2024-12-17,3466,12636,-1707,11323,15032,14395,3072
2024-12-18,411180,8167,19225,7646,6486,438572,430926
2024-12-19,-268413,4790,-1012,30981,27152,-264635,-295616
2024-12-20,10377,4925,-18661,32596,-27220,-3359,-35955
2024-12-21,328729,14981,16801,30863,-11157,360511,329648
2024-12-22,-295040,13840,11667,25238,28192,-269533,-294771
2024-12-23,294144,10093,-13929,38359,-45438,290308,251949
2024-12-24,-227153,14489,12053,34315,34290,-200611,-234926
2024-12-25,-103059,10469,-7640,38173,-20710,-100230,-138403
2024-12-26,339487,2718,-17128,38617,-13125,325077,286460
2024-12-27,-38273,6717,-1335,38507,25092,-32891,-71398
2024-12-28,-26626,13125,-14594,8305,8297,-28095,-36400
2024-12-29,-106291,12895,16695,27663,-10112,-76701,-104364
2024-12-30,170563,14433,-1213,37106,10674,183783,146677
2024-12-31,358752,6703,19537,39906,39924,384992,345086
2025-01-01,-388067,2780,16140,20100,-21082,-369147,-389247
2025-01-02,-81556,10576,16499,9979,1630,-54481,-64460
2025-01-03,134375,2084,19867,6787,12312,156326,149539
2025-01-04,413526,3025,-4116,25719,-2557,412435,386716
2025-01-05,34847,9821,-6050,13755,-21675,38618,24863
2025-01-06,-79067,6752,13934,34662,-41157,-58381,-93043
2025-01-07,280431,7544,-396,23244,-12014,287579,264335
2025-01-08,-122950,14749,-510,12602,49338,-108711,-121313
2025-01-09,-239570,3794,19490,32932,-4430,-216286,-249218
2025-01-10,-127017,7208,-8471,7389,-17762,-128280,-135669
2025-01-11,310638,6117,12052,14265,-33368,328807,314542
2025-01-12,36870,14555,-8821,18276,-12486,42604,24328
2025-01-13,399813,13045,14432,5243,-16746,427290,422047
2025-01-14,-119336,9919,-13425,26132,-39375,-122842,-148974
2025-01-15,159783,4276,-16854,5943,-17274,147205,141262
2025-01-16,481205,4915,6749,36636,15690,492869,456233
2025-01-17,218872,13598,-18890,6892,25318,213580,206688
2025-01-18,-4305,13127,416,8947,36427,9238,291
2025-01-19,-138879,4651,16465,18337,10389,-117763,-136100
2025-01-20,271863,7487,-6958,5781,-4999,272392,266611
2025-01-21,195691,7472,-1769,16867,-15302,201394,184527
2025-01-22,-149195,4749,468,10779,21429,-143978,-154757
2025-01-23,-148145,4185,11017,35945,43022,-132943,-168888
2025-01-24,-71320,14943,16581,5979,26730,-39796,-45775
2025-01-25,-380090,8435,4234,12620,-5596,-367421,-380041
2025-01-26,-413413,14764,3434,19699,-12722,-395215,-414914
2025-01-27,213175,13198,11928,19721,40265,238301,218580
2025-01-28,-261973,14571,-993,8958,40882,-248395,-257353
2025-01-29,295188,5579,10734,35226,-29375,311501,276275
2025-01-30,-5263,13218,52,21613,46604,8007,-13606
2025-01-31,41109,9473,13683,32585,45638,64265,31680
2025-02-01,-236041,3553,12048,16468,25012,-220440,-236908
2025-02-02,-34873,9376,-5272,5828,21257,-30769,-36597
2025-02-03,-272445,3250,9896,38036,-590,-259299,-297335
2025-02-04,31216,6878,12182,25285,18108,50276,24991
2025-02-05,-104201,7297,15243,23641,41890,-81661,-105302
2025-02-06,-306798,14038,-11530,6129,-31822,-304290,-310419
2025-02-07,-140167,4253,-109,25512,915,-136023,-161535
2025-02-08,195540,6675,-4193,13063,-6943,198022,184959
2025-02-09,-330198,2289,16310,23313,39075,-311599,-334912
2025-02-10,-130383,7620,-4235,27380,18308,-126998,-154378
2025-02-11,-151198,12010,-12972,19640,16448,-152160,-171800
2025-02-12,191554,3903,-5722,35733,-34815,189735,154002
2025-02-13,560831,6562,15452,13085,29072,582845,569760
2025-02-14,9185,11136,7945,17001,-48309,28266,11265
2025-02-15,232913,3658,-14407,21204,-39424,222164,200960
2025-02-16,87467,10363,-19813,36551,-19459,78017,41466
2025-02-17,65117,8680,-4335,27533,33704,69462,41929
2025-02-18,151458,9271,-19741,7191,-15708,140988,133797
2025-02-19,-7921,9941,19983,36010,22733,22003,-14007
2025-02-20,150296,11232,19318,12765,27838,180846,168081
2025-02-21,232840,2727,-15552,39042,7488,220015,180973
2025-02-22,464308,5717,17876,26440,28844,487901,461461
2025-02-23,242394,12855,-8172,12336,-20563,247077,234741
2025-02-24,-98637,5830,15551,32566,10397,-77256,-109822
2025-02-25,156463,2930,12718,38531,39379,172111,133580
2025-02-26,-37239,11138,17952,27311,-29851,-8149,-35460
2025-02-27,-195008,14871,14679,11675,-15814,-165458,-177133
2025-02-28,171355,10934,6767,25756,40936,189056,163300
2025-03-01,129914,13497,17496,27281,-46573,160907,133626
2025-03-02,-10193,2421,7379,19768,38513,-393,-20161
2025-03-03,253415,2145,-11697,9044,13824,243863,234819
2025-03-04,60419,10736,-197,20902,25494,70958,50056
2025-03-05,461431,3280,19170,35725,37002,483881,448156
2025-03-06,134560,14915,-1108,37071,20404,148367,111296
2025-03-07,387787,3939,11613,36579,29978,403339,366760
2025-03-08,-265977,11742,-3758,31293,-13898,-257993,-289286
2025-03-09,562580,7457,9609,25307,-6375,579646,554339
2025-03-10,-88399,14619,5461,39593,32989,-68319,-107912
2025-03-11,352159,8085,11959,11320,-2740,372203,360883
2025-03-12,-101402,6367,-12240,20936,-12352,-107275,-128211
2025-03-13,475490,11050,15698,22535,30853,502238,479703
2025-03-14,261078,4129,4312,29927,-7194,269519,239592
2025-03-15,-224088,9349,-9425,24882,15702,-224164,-249046
2025-03-16,326675,13932,-18577,26057,-7156,322030,295973
2025-03-17,296821,10305,-12302,34652,-35074,294824,260172
2025-03-18,493606,9444,-1194,39598,5847,501856,462258
2025-03-19,-490499,7723,587,30930,38504,-482189,-513119
2025-03-20,132095,14532,-3940,34912,28364,142687,107775
2025-03-21,581507,14874,2692,13901,-12265,599073,585172
2025-03-22,608419,12275,-11643,5772,-49980,609051,603279
2025-03-23,478550,4108,-10495,11185,-35425,472163,460978
2025-03-24,-126242,8745,-19659,36453,-12982,-137156,-173609
2025-03-25,514213,4848,-4191,18546,26984,514870,496324
2025-03-26,-425919,5449,-11968,18083,11586,-432438,-450521
2025-03-27,60771,9710,-12408,16451,-48011,58073,41622
2025-03-28,115095,2622,10309,34373,-12995,128026,93653
2025-03-29,547157,13216,-6526,39330,-48830,553847,514517
2025-03-30,-435713,2887,7553,21894,-48891,-425273,-447167
2025-03-31,143644,5441,-8441,14985,18409,140644,125659
2025-04-01,-152935,3697,-6013,15738,35116,-155251,-170989
2025-04-02,85239,7598,-7837,7583,-10722,85000,77417
2025-04-03,-188160,6131,-1285,17851,-13668,-183314,-201165
2025-04-04,145135,14452,12490,13402,-6585,172077,158675
2025-04-05,-122077,6325,10231,15741,10290,-105521,-121262
2025-04-06,-19420,14900,-7023,11903,27295,-11543,-23446
2025-04-07,419674,11472,-7119,18980,46860,424027,405047
2025-04-08,-212766,2405,15854,13172,49391,-194507,-207679
2025-04-09,88020,12318,14651,28607,-41298,114989,86382
2025-04-10,-131141,7653,-855,21973,29357,-124343,-146316
2025-04-11,362966,13499,14143,25865,-43437,390608,364743
2025-04-12,30072,5345,-131,23045,14147,35286,12241
2025-04-13,504144,3123,16235,28378,-27968,523502,495124
2025-04-14,-156554,9893,-2715,34762,-28380,-149376,-184138
2025-04-15,289293,4094,-5867,21764,-18190,287520,265756
2025-04-16,-32581,6873,-7257,15688,-47206,-32965,-48653
2025-04-17,-164802,4848,-14018,25587,4083,-173972,-199559
2025-04-18,458289,9722,7257,19238,-28353,475268,456030
2025-04-19,640912,13769,-18667,25251,-96,636014,610763
2025-04-20,-140688,10636,-17906,14942,41995,-147958,-162900
2025-04-21,125930,14117,-1114,25912,45711,138933,113021
2025-04-22,300810,11558,-14372,27378,-26412,297996,270618
2025-04-23,510607,5728,-8392,19272,-14227,507943,488671
2025-04-24,16449,12882,13921,29484,-29859,43252,13768
2025-04-25,-155576,14288,15565,15808,-6932,-125723,-141531
2025-04-26,-146634,11443,-13443,31912,-34904,-148634,-180546
2025-04-27,-58257,5521,-299,13190,21482,-53035,-66225
2025-04-28,207247,10936,-17828,28507,22083,200355,171848
2025-04-29,119873,12156,17679,32499,10201,149708,117209
2025-04-30,-52967,9600,-3980,17336,-31083,-47347,-64683
2025-05-01,-25894,10660,5383,16211,-16810,-9851,-26062
2025-05-02,271544,5665,-1560,17695,-14916,275649,257954
2025-05-03,190923,5193,-437,33345,29554,195679,162334
2025-05-04,434161,4953,-7110,15670,34551,432004,416334
2025-05-05,-211411,9726,12474,25218,-15026,-189211,-214429
2025-05-06,-13163,3818,-16098,38445,10132,-25443,-63888
2025-05-07,169628,13337,9747,17522,-24957,192712,175190
2025-05-08,279278,3887,3862,8187,-40771,287027,278840
2025-05-09,182426,8156,-14944,28713,31757,175638,146925
2025-05-10,-157337,13928,-8296,39479,-27078,-151705,-191184
2025-05-11,-290479,4156,-4465,21870,3189,-290788,-312658
2025-05-12,237893,5982,-5549,36961,13018,238326,201365
2025-05-13,105755,8990,-16545,28826,-25101,98200,69374
2025-05-14,496343,11490,14524,20174,-24435,522357,502183
2025-05-15,-95137,14768,17095,35518,43596,-63274,-98792
2025-05-16,341807,5371,-7293,38120,-30744,339885,301765
2025-05-17,-88423,11629,7524,19376,-34459,-69270,-88646
2025-05-18,-24746,13206,7997,15249,10349,-3543,-18792
2025-05-19,-155,3834,15084,17458,11208,18763,1305
2025-05-20,-181882,5385,-10891,27066,4524,-187388,-214454
2025-05-21,310964,13682,-18399,14181,-9870,306247,292066
2025-05-22,204427,6569,-19032,27885,-37358,191964,164079
2025-05-23,-22367,12992,-19969,39951,49918,-29344,-69295
2025-05-24,-334821,14820,4585,19734,-27442,-315416,-335150
2025-05-25,172503,4290,-2313,10460,-5492,174480,164020
2025-05-26,457651,13189,-16570,29745,22039,454270,424525
2025-05-27,164594,14036,-888,30878,17089,177742,146864
2025-05-28,167972,7795,8776,36382,39568,184543,148161
2025-05-29,144830,11233,17388,29030,13381,173451,144421
2025-05-30,138564,14761,-4456,5209,4120,148869,143660
2025-05-31,-323246,3893,3590,19281,42572,-315763,-335044
2025-06-01,-42702,2726,12453,32324,-45547,-27523,-59847
2025-06-02,331880,7503,-17616,31248,37717,321767,290519
2025-06-03,124425,12100,18466,39641,16182,154991,115350
2025-06-04,502551,8730,-17960,39949,-32593,493321,453372
2025-06-05,-167355,8070,19626,11412,-43565,-139659,-151071
2025-06-06,132818,4553,15085,14042,3315,152456,138414
2025-06-07,415685,11261,-5307,21460,-243,421639,400179
2025-06-08,266234,7901,9602,28602,-9153,283737,255135
2025-06-09,299560,8235,8085,24128,26004,315880,291752
2025-06-10,-110682,11030,-7430,27373,-24569,-107082,-134455
2025-06-11,-50700,2332,19116,12233,47822,-29252,-41485
2025-06-12,-524373,8889,16094,11480,-11770,-499390,-510870
2025-06-13,194271,2896,-10079,14673,-48453,187088,172415
2025-06-14,447634,11909,2830,11692,6394,462373,450681
2025-06-15,-428124,2353,5709,27756,19198,-420062,-447818
2025-06-16,-189245,12999,18614,34753,39942,-157632,-192385
2025-06-17,42247,2442,-19295,15120,28455,25394,10274
2025-06-18,-226358,7511,-15908,21273,1891,-234755,-256028
2025-06-19,-358144,2610,-7864,26865,43526,-363398,-390263
2025-06-20,8947,10098,-17593,27190,46504,1452,-25738
2025-06-21,-250385,3131,-18229,12374,8703,-265483,-277857
2025-06-22,-431238,2910,-13268,16585,14222,-441596,-458181
2025-06-23,186171,5116,15383,14538,-11118,206670,192132
2025-06-24,260211,8800,-6612,37530,21675,262399,224869
2025-06-25,-252473,11393,-11051,6598,-2912,-252131,-258729
2025-06-26,262062,3529,-6869,26084,15335,258722,232638
2025-06-27,256375,7133,4229,30660,23663,267737,237077
2025-06-28,35623,6028,6379,31215,-36859,48030,16815
2025-06-29,56959,7969,7759,17154,-1664,72687,55533
2025-06-30,297826,3896,12180,21721,40240,313902,292181
2025-07-01,-43849,13594,11509,14985,-43958,-18746,-33731
2025-07-02,-141077,8347,13567,6526,-24273,-119163,-125689
2025-07-03,33328,14204,-19044,22648,-34282,28488,5840
2025-07-04,254079,14262,-12698,6397,-12131,255643,249246
2025-07-05,82061,7632,-3945,30210,47680,85748,55538
2025-07-06,-375280,5377,15845,37764,-24893,-354058,-391822
2025-07-07,-424964,8215,17835,29066,-38694,-398914,-427980
2025-07-08,-159762,5655,-4398,19075,13620,-158505,-177580
2025-07-09,202649,9622,1764,30901,-24047,214035,183134
2025-07-10,487707,14353,17812,5759,-28306,519872,514113
2025-07-11,-59066,4230,12276,9103,-28720,-42560,-51663
2025-07-12,13054,10370,-14859,25014,2911,8565,-16449
2025-07-13,331191,12758,-16711,36368,-38815,327238,290870
2025-07-14,297398,12543,15167,20402,22733,325108,304706
2025-07-15,-277981,12100,-19082,30480,-7948,-284963,-315443
2025-07-16,-325534,3557,16430,18073,-44065,-305547,-323620
2025-07-17,505601,10117,4368,13077,-42458,520086,507009
2025-07-18,-20429,12315,-7601,35984,39835,-15715,-51699
2025-07-19,-159240,2815,-9918,29243,4512,-166343,-195586
2025-07-20,-31187,2988,-1554,32362,-14330,-29753,-62115
2025-07-21,-57742,14689,3345,23490,-31989,-39708,-63198
2025-07-22,-172677,14593,12091,12129,-49222,-145993,-158122
2025-07-23,-179197,14184,16739,37129,-27928,-148274,-185403
2025-07-24,-191815,5173,-3420,36819,-48453,-190062,-226881
2025-07-25,-484301,3685,19776,8085,1682,-460840,-468925
2025-07-26,265065,10708,1837,21012,681,277610,256598
2025-07-27,-80888,11134,-14750,36678,-5807,-84504,-121182
2025-07-28,-321788,6476,-7306,11752,-14981,-322618,-334370
2025-07-29,411121,3671,1888,29010,5341,416680,387670
2025-07-30,379907,12987,1108,10507,-12730,394002,383495
2025-07-31,-83619,6061,-1267,11167,-11984,-78825,-89992
2025-08-01,214810,5269,-9735,9870,-6853,210344,200474
2025-08-02,307261,8066,4230,15466,34365,319557,304091
2025-08-03,-217787,9477,-3353,30570,37646,-211663,-242233
2025-08-04,191773,7279,11074,37272,40002,210126,172854
2025-08-05,-226624,9754,1775,27212,-25887,-215095,-242307
2025-08-06,-144136,13580,-5733,5540,-38541,-136289,-141829
2025-08-07,288399,13934,1534,27709,16796,303867,276158
2025-08-08,49264,13270,5875,29545,-17108,68409,38864
2025-08-09,223513,10798,15046,17344,-6700,249357,232013
2025-08-10,34581,14566,13459,22107,-5721,62606,40499
2025-08-11,-222995,11987,12623,19839,-15384,-198385,-218224
2025-08-12,155396,12477,11616,21871,10222,179489,157618
2025-08-13,342040,13869,-16295,11448,-49141,339614,328166
2025-08-14,103396,8872,-7760,13520,-1544,104508,90988
2025-08-15,371515,5379,13316,9420,-28961,390210,380790
2025-08-16,406065,12557,1546,12045,-13046,420168,408123
2025-08-17,-22339,10029,12658,30894,-39330,348,-30546
2025-08-18,310383,2147,-17069,8435,8849,295461,287026
2025-08-19,-37835,3227,-17398,14534,15385,-52006,-66540
2025-08-20,280945,7893,-5572,12600,45895,283266,270666
2025-08-21,42972,13390,12111,24773,-23771,68473,43700
2025-08-22,-227795,12261,2568,37654,-46307,-212966,-250620
2025-08-23,394986,14267,-4533,33854,8055,404720,370866
2025-08-24,40663,13859,-17451,26741,30110,37071,10330
2025-08-25,34822,14916,3462,34211,-3647,53200,18989
2025-08-26,129257,6977,3310,21415,23169,139544,118129
2025-08-27,670834,14531,14309,18402,26439,699674,681272
2025-08-28,590364,10805,-18002,37343,-5284,583167,545824
2025-08-29,-226705,6315,3920,38402,-23655,-216470,-254872
2025-08-30,-212695,11456,11252,30601,-49242,-189987,-220588
2025-08-31,-180674,6106,-18943,7339,-8062,-193511,-200850
2025-09-01,292834,4602,-16720,36263,-10189,280716,244453
2025-09-02,-238191,12269,13656,5130,12949,-212266,-217396
2025-09-03,19434,10776,-16855,9307,-45310,13355,4048
2025-09-04,-65918,10895,-4580,36018,-1595,-59603,-95621
2025-09-05,-157713,3389,6003,25046,8695,-148321,-173367
2025-09-06,-120093,12498,-5507,25107,37087,-113102,-138209
2025-09-07,71605,9626,9644,37430,34865,90875,53445
2025-09-08,-254085,2717,12186,5594,-40817,-239182,-244776
2025-09-09,184235,5785,-6143,8008,28508,183877,175869
2025-09-10,48806,10355,5752,12743,-35076,64913,52170
2025-09-11,67153,14968,7214,15481,24555,89335,73854
2025-09-12,243779,12816,-7163,34477,-4599,249432,214955
2025-09-13,473587,2223,-12987,27454,-41946,462823,435369
2025-09-14,298664,5902,-13404,24966,-49205,291162,266196
2025-09-15,-391061,11159,16228,8159,-38145,-363674,-371833
2025-09-16,335768,9496,7781,20272,-39504,353045,332773
2025-09-17,-138729,2067,16486,19095,9145,-120176,-139271
2025-09-18,175519,9409,-8745,29830,34539,176183,146353
2025-09-19,-571709,14610,-7949,38988,-15924,-565048,-604036
2025-09-20,255994,10505,-18978,35344,-953,247521,212177
2025-09-21,-91930,14032,-3738,25672,-47785,-81636,-107308
2025-09-22,-145053,4484,-7713,17323,-17014,-148282,-165605
2025-09-23,-77804,13804,-5971,32069,-26154,-69971,-102040
2025-09-24,-247863,3096,7557,22509,2546,-237210,-259719
2025-09-25,177809,10178,19389,33454,34590,207376,173922
2025-09-26,276991,13656,-13671,35694,-41438,276976,241282
2025-09-27,-94081,11266,1800,21677,3825,-81015,-102692
2025-09-28,261377,12838,13955,39217,16373,288170,248953
2025-09-29,-50781,2256,11393,39548,12151,-37132,-76680
2025-09-30,-127204,9256,-7066,16504,25383,-125014,-141518
2025-10-01,231488,11094,12335,21253,9079,254917,233664
2025-10-02,-298233,14965,19309,15415,-26004,-263959,-279374
2025-10-03,527751,9975,-860,19142,9682,536866,517724
2025-10-04,571968,7410,-14849,27452,-31881,564529,537077
2025-10-05,304564,4739,-2739,37577,32068,306564,268987
2025-10-06,304732,13795,-12216,33340,-45587,306311,272971
2025-10-07,225979,14489,6995,17240,11559,247463,230223
2025-10-08,-229276,5144,4582,16733,3510,-219550,-236283
2025-10-09,-16678,8051,-101,11870,30363,-8728,-20598
2025-10-10,-153661,10890,12075,15848,34366,-130696,-146544
2025-10-11,320420,4257,-4448,5031,40938,320229,315198
2025-10-12,-188457,8139,-6989,14817,9542,-187307,-202124
2025-10-13,187132,12908,10123,9483,5364,210163,200680
