Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2026-04-09,312214,236899,115053,12665,22972,75315,-39738,-75375,87980
2026-04-10,576055,364647,76100,6631,27856,211408,135308,100821,218039
2026-04-11,724275,118713,62937,5055,3951,605562,542625,533619,610617
2026-04-12,732294,187931,117306,15593,20947,544363,427057,390517,559956
2026-04-13,672927,247558,119343,8079,24371,425369,306026,273576,433448
2026-04-14,258909,54264,9298,2203,10622,204645,195347,182522,206848
2026-04-15,645129,275642,55610,1031,16743,369487,313877,296103,370518
2026-04-16,87241,361800,187139,3453,10609,-274559,-461698,-475760,-271106
2026-04-17,490309,104320,37694,5692,13506,385989,348295,329097,391681
2026-04-18,267854,361630,141841,12196,22998,-93776,-235617,-270811,-81580
2026-04-19,553915,361278,10135,14565,12412,192637,182502,155525,207202
2026-04-20,763358,308301,119580,18942,7044,455057,335477,309491,473999
2026-04-21,487636,286180,93716,16319,20959,201456,107740,70462,217775
2026-04-22,631266,53405,125831,13738,20783,577861,452030,417509,591599
2026-04-23,686232,358055,178587,3845,6996,328177,149590,138749,332022
2026-04-24,791310,351014,23828,12838,21678,440296,416468,381952,453134
2026-04-25,667648,122814,39868,17615,9791,544834,504966,477560,562449
2026-04-26,226400,250758,60900,11384,4099,-24358,-85258,-100741,-12974
2026-04-27,715463,328276,27060,15662,21721,387187,360127,322744,402849
2026-04-28,485956,254205,127321,13598,568,231751,104430,90264,245349
2026-04-29,663191,69996,100018,4888,2382,593195,493177,485907,598083
2026-04-30,790803,273260,61437,4221,9136,517543,456106,442749,521764
2026-05-01,476418,169332,47074,14731,3257,307086,260012,242024,321817
2026-05-02,562077,335508,199028,1850,17245,226569,27541,8446,228419
2026-05-03,365094,54896,143085,17335,9044,310198,167113,140734,327533
2026-05-04,166668,249544,187144,12963,13567,-82876,-270020,-296550,-69913
2026-05-05,70262,356740,27920,2946,27340,-286478,-314398,-344684,-283532
2026-05-06,382751,44062,174031,11611,25568,338689,164658,127479,350300
2026-05-07,660637,348004,7502,6962,5749,312633,305131,292420,319595
2026-05-08,30930,300331,57732,6508,5935,-269401,-327133,-339576,-262893
2026-05-09,572349,130843,67276,10054,3161,441506,374230,361015,451560
2026-05-10,29616,231706,16210,11597,21481,-202090,-218300,-251378,-190493
2026-05-11,183554,67662,198565,10760,17141,115892,-82673,-110574,126652
2026-05-12,265098,19772,132580,5744,11100,245326,112746,95902,251070
2026-05-13,596763,124453,80808,12388,13597,472310,391502,365517,484698
2026-05-14,396735,319336,9935,12467,18796,77399,67464,36201,89866
2026-05-15,714496,242887,148669,16841,12638,471609,322940,293461,488450
2026-05-16,781725,337990,86212,19800,11971,443735,357523,325752,463535
2026-05-17,201360,41418,36096,1634,5149,159942,123846,117063,161576
2026-05-18,798167,388768,14251,13424,25104,409399,395148,356620,422823
2026-05-19,430055,381212,136271,6702,17965,48843,-87428,-112095,55545
2026-05-20,478690,187298,117700,5034,18494,291392,173692,150164,296426
2026-05-21,328582,133319,98764,642,15515,195263,96499,80342,195905
2026-05-22,668431,10821,33350,14823,1151,657610,624260,608286,672433
2026-05-23,725004,21762,99385,5396,22113,703242,603857,576348,708638
2026-05-24,624221,170715,190235,595,24197,453506,263271,238479,454101
2026-05-25,94372,22035,74489,18528,28293,72337,-2152,-48973,90865
2026-05-26,461412,71983,123632,2550,23181,389429,265797,240066,391979
2026-05-27,493874,320471,41460,19653,13595,173403,131943,98695,193056
2026-05-28,60346,87006,52000,3159,5952,-26660,-78660,-87771,-23501
2026-05-29,680232,204955,27357,17676,25987,475277,447920,404257,492953
2026-05-30,747241,62178,111164,14899,18691,685063,573899,540309,699962
2026-05-31,783270,31395,115598,5027,24861,751875,636277,606389,756902
2026-06-01,420994,123924,103348,8950,12654,297070,193722,172118,306020
2026-06-02,454256,30493,181612,19990,19258,423763,242151,202903,443753
2026-06-03,326685,200886,24331,1869,2041,125799,101468,97558,127668
2026-06-04,673046,256124,84569,5889,25765,416922,332353,300699,422811
2026-06-05,738271,346192,44919,6637,20044,392079,347160,320479,398716
2026-06-06,265433,135654,135673,4277,22354,129779,-5894,-32525,134056
2026-06-07,281270,224929,23741,11559,19362,56341,32600,1679,67900
2026-06-08,489006,67039,192175,2460,27036,421967,229792,200296,424427
2026-06-09,48038,292594,84117,13821,29316,-244556,-328673,-371810,-230735
2026-06-10,443247,297742,96902,1323,8736,145505,48603,38544,146828
2026-06-11,30256,367631,79039,14195,7390,-337375,-416414,-437999,-323180
2026-06-12,533207,276398,113539,5700,25012,256809,143270,112558,262509
2026-06-13,232512,47753,92864,521,11121,184759,91895,80253,185280
2026-06-14,360306,226238,76459,15097,20219,134068,57609,22293,149165
2026-06-15,434397,55293,51329,2242,7244,379104,327775,318289,381346
2026-06-16,528668,383939,150758,10226,25624,144729,-6029,-41879,154955
2026-06-17,411384,58762,15901,16810,27195,352622,336721,292716,369432
2026-06-18,407353,157241,67761,13798,21196,250112,182351,147357,263910
2026-06-19,263359,289609,143050,17981,4655,-26250,-169300,-191936,-8269
2026-06-20,363305,363350,89715,5628,8775,-45,-89760,-104163,5583
2026-06-21,543617,103846,51660,2225,11411,439771,388111,374475,441996
2026-06-22,641834,313367,39296,11328,25672,328467,289171,252171,339795
2026-06-23,114610,115855,135679,9276,7723,-1245,-136924,-153923,8031
2026-06-24,463271,381343,129120,16954,16480,81928,-47192,-80626,98882
2026-06-25,623191,184844,182129,15782,1900,438347,256218,238536,454129
2026-06-26,112852,355720,191814,13367,22956,-242868,-434682,-471005,-229501
2026-06-27,181535,311422,197651,17765,24337,-129887,-327538,-369640,-112122
2026-06-28,449422,24524,18336,15579,20676,424898,406562,370307,440477
2026-06-29,181866,393023,127305,19034,15229,-211157,-338462,-372725,-192123
2026-06-30,571492,236676,86508,17674,23596,334816,248308,207038,352490
2026-07-01,354837,278822,62402,8537,23535,76015,13613,-18459,84552
2026-07-02,161090,52428,101653,14052,23922,108662,7009,-30965,122714
2026-07-03,28445,34312,55920,13475,28928,-5867,-61787,-104190,7608
2026-07-04,305622,156607,126023,6691,23986,149015,22992,-7685,155706
2026-07-05,595905,149248,110855,2862,6406,446657,335802,326534,449519
2026-07-06,335182,277576,160986,8606,9197,57606,-103380,-121183,66212
2026-07-07,709783,257785,151690,19955,25924,451998,300308,254429,471953
2026-07-08,296759,21536,121177,10262,16858,275223,154046,126926,285485
2026-07-09,195995,183323,94138,3799,8950,12672,-81466,-94215,16471
2026-07-10,765725,375055,10449,12724,18995,390670,380221,348502,403394
2026-07-11,316804,245480,149447,673,4027,71324,-78123,-82823,71997
2026-07-12,105753,55621,7389,2747,5171,50132,42743,34825,52879
2026-07-13,477577,294520,36256,19901,991,183057,146801,125909,202958
2026-07-14,656377,374991,40999,1169,16457,281386,240387,222761,282555
2026-07-15,654392,95554,82274,10118,22865,558838,476564,443581,568956
2026-07-16,133766,29977,68854,5575,19711,103789,34935,9649,109364
2026-07-17,690385,85679,13178,6555,9288,604706,591528,575685,611261
2026-07-18,270991,249112,70333,18672,10575,21879,-48454,-77701,40551
2026-07-19,60673,261441,153025,18670,21287,-200768,-353793,-393750,-182098
2026-07-20,371842,75915,47396,12123,21565,295927,248531,214843,308050
2026-07-21,597100,141967,66238,18461,20346,455133,388895,350088,473594
2026-07-22,708624,365475,72595,18415,27617,343149,270554,224522,361564
2026-07-23,130915,254992,129762,18279,9893,-124077,-253839,-282011,-105798
2026-07-24,146994,155663,35297,14855,19971,-8669,-43966,-78792,6186
2026-07-25,711867,151491,108878,7217,27136,560376,451498,417145,567593
2026-07-26,511694,378648,33184,13713,21410,133046,99862,64739,146759
2026-07-27,271207,299280,75803,16824,10806,-28073,-103876,-131506,-11249
2026-07-28,204821,47213,98945,2937,19781,157608,58663,35945,160545
2026-07-29,482178,67099,174857,16553,3666,415079,240222,220003,431632
2026-07-30,395143,117688,169870,12136,4780,277455,107585,90669,289591
2026-07-31,286691,106196,160057,16880,12418,180495,20438,-8860,197375
2026-08-01,571683,11997,68882,6441,10053,559686,490804,474310,566127
2026-08-02,398264,18494,45208,13563,29801,379770,334562,291198,393333
2026-08-03,480407,68371,198798,19548,28043,412036,213238,165647,431584
2026-08-04,365673,60683,158915,10801,13721,304990,146075,121553,315791
2026-08-05,632548,386483,24775,2038,23579,246065,221290,195673,248103
2026-08-06,661427,306396,80198,7892,22729,355031,274833,244212,362923
2026-08-07,690582,274898,77809,17700,22060,415684,337875,298115,433384
2026-08-08,752426,369283,132221,15881,8248,383143,250922,226793,399024
2026-08-09,239198,343866,127433,7149,20712,-104668,-232101,-259962,-97519
2026-08-10,456356,50094,166985,9520,29500,406262,239277,200257,415782
2026-08-11,626492,48156,27039,7878,10757,578336,551297,532662,586214
2026-08-12,655489,380374,178485,7849,12748,275115,96630,76033,282964
2026-08-13,496103,180093,160207,2608,4444,316010,155803,148751,318618
2026-08-14,678538,62327,111397,14087,13889,616211,504814,476838,630298
2026-08-15,645413,319584,114520,7521,10358,325829,211309,193430,333350
2026-08-16,168209,46316,158189,12583,28705,121893,-36296,-77584,134476
2026-08-17,755893,277012,164402,3834,19002,478881,314479,291643,482715
2026-08-18,508362,295506,167039,17147,2215,212856,45817,26455,230003
2026-08-19,293623,111459,150288,7564,23950,182164,31876,362,189728
2026-08-20,513365,284048,19641,10172,8089,229317,209676,191415,239489
2026-08-21,489031,256000,69658,9131,7842,233031,163373,146400,242162
2026-08-22,509317,332846,140696,5075,25999,176471,35775,4701,181546
2026-08-23,320720,394363,50218,18259,938,-73643,-123861,-143058,-55384
2026-08-24,464922,143281,34560,18483,6082,321641,287081,262516,340124
2026-08-25,314358,43110,132454,5512,25882,271248,138794,107400,276760
2026-08-26,742409,362781,185562,3060,23184,379628,194066,167822,382688
2026-08-27,114407,154569,134637,18232,22861,-40162,-174799,-215892,-21930
2026-08-28,582989,51095,77161,5763,19523,531894,454733,429447,537657
2026-08-29,533801,242773,135604,19895,9963,291028,155424,125566,310923
2026-08-30,560994,176844,143171,8717,5077,384150,240979,227185,392867
2026-08-31,370768,310107,145132,19455,8647,60661,-84471,-112573,80116
2026-09-01,183058,174045,153755,16446,15393,9013,-144742,-176581,25459
2026-09-02,637649,252811,37396,6394,24233,384838,347442,316815,391232
2026-09-03,380294,360399,185001,11344,21380,19895,-165106,-197830,31239
2026-09-04,266355,22032,110903,14355,29709,244323,133420,89356,258678
2026-09-05,481509,68242,141323,14242,4741,413267,271944,252961,427509
2026-09-06,525095,91626,45456,7864,26193,433469,388013,353956,441333
2026-09-07,736772,277414,60742,18303,14692,459358,398616,365621,477661
2026-09-08,728517,39619,86480,12246,16355,688898,602418,573817,701144
2026-09-09,761992,66223,39922,8862,27378,695769,655847,619607,704631
2026-09-10,195102,265107,82466,8767,10806,-70005,-152471,-172044,-61238
2026-09-11,107437,367092,88405,3843,28332,-259655,-348060,-380235,-255812
2026-09-12,490959,290444,56416,12777,1701,200515,144099,129621,213292
2026-09-13,31172,57221,71648,4277,11431,-26049,-97697,-113405,-21772
2026-09-14,338080,125047,21914,4680,16354,213033,191119,170085,217713
2026-09-15,341487,367051,177368,19733,28037,-25564,-202932,-250702,-5831
2026-09-16,463450,59720,50280,5365,12496,403730,353450,335589,409095
2026-09-17,421262,183280,84204,16831,25386,237982,153778,111561,254813
2026-09-18,490009,51999,151821,1365,16626,438010,286189,268198,439375
2026-09-19,693663,139460,19054,5762,26770,554203,535149,502617,559965
2026-09-20,637321,365476,80028,13477,10159,271845,191817,168181,285322
2026-09-21,721036,60739,60201,11724,28013,660297,600096,560359,672021
2026-09-22,97898,375183,144689,2360,558,-277285,-421974,-424892,-274925
2026-09-23,138721,282447,27531,3438,13674,-143726,-171257,-188369,-140288
2026-09-24,296889,313533,39974,18791,21558,-16644,-56618,-96967,2147
2026-09-25,701247,169608,148019,6014,17293,531639,383620,360313,537653
2026-09-26,585975,265402,54635,14543,21729,320573,265938,229666,335116
2026-09-27,589951,213328,51877,13491,1462,376623,324746,309793,390114
2026-09-28,667014,116822,16580,6041,22161,550192,533612,505410,556233
2026-09-29,91850,281573,10868,10589,23344,-189723,-200591,-234524,-179134
2026-09-30,760019,251330,90630,4062,24443,508689,418059,389554,512751
2026-10-01,626011,184342,177780,6166,7481,441669,263889,250242,447835
2026-10-02,713874,341543,33196,4976,25742,372331,339135,308417,377307
2026-10-03,306292,325340,61419,13121,21870,-19048,-80467,-115458,-5927
2026-10-04,652639,340622,130477,19678,16893,312017,181540,144969,331695
2026-10-05,199965,340471,132351,1276,9349,-140506,-272857,-283482,-139230
2026-10-06,311064,244674,113131,18219,23465,66390,-46741,-88425,84609
2026-10-07,182718,78642,141378,13522,9578,104076,-37302,-60402,117598
2026-10-08,687201,176800,115920,19680,7453,510401,394481,367348,530081
2026-10-09,372900,40858,40608,19490,28038,332042,291434,243906,351532
2026-10-10,484921,169728,165229,18628,15681,315193,149964,115655,333821
2026-10-11,467986,288208,142269,11632,4447,179778,37509,21430,191410
2026-10-12,774961,376554,119179,798,18061,398407,279228,260369,399205
2026-10-13,119864,45682,74432,4464,7622,74182,-250,-12336,78646
2026-10-14,305506,285102,157679,13539,22303,20404,-137275,-173117,33943
2026-10-15,158960,84900,181415,2103,2265,74060,-107355,-111723,76163
2026-10-16,442236,167285,41185,10667,780,274951,233766,222319,285618
2026-10-17,36780,221140,194513,7983,7760,-184360,-378873,-394616,-176377
2026-10-18,144961,61731,58581,15482,18171,83230,24649,-9004,98712
2026-10-19,539069,144763,170672,18800,4204,394306,223634,200630,413106
2026-10-20,437134,103714,59561,14435,7451,333420,273859,251973,347855
2026-10-21,369362,211230,89681,5972,25781,158132,68451,36698,164104
2026-10-22,189076,70822,108744,17911,13034,118254,9510,-21435,136165
2026-10-23,598914,211696,115782,13130,24494,387218,271436,233812,400348
2026-10-24,236332,194797,165445,14135,7401,41535,-123910,-145446,55670
2026-10-25,533812,310288,97459,4846,3419,223524,126065,117800,228370
2026-10-26,47845,33197,51462,5219,7406,14648,-36814,-49439,19867
2026-10-27,645808,373970,97143,15306,1969,271838,174695,157420,287144
2026-10-28,675931,341844,75762,10552,21409,334087,258325,226364,344639
2026-10-29,663554,65843,19354,5884,2256,597711,578357,570217,603595
2026-10-30,155992,70959,124503,11523,23844,85033,-39470,-74837,96556
2026-10-31,367426,207921,91007,7143,23120,159505,68498,38235,166648
2026-11-01,154364,33415,75681,5625,20404,120949,45268,19239,126574
2026-11-02,785845,299253,96657,4165,23316,486592,389935,362454,490757
2026-11-03,276032,102651,41230,15656,14225,173381,132151,102270,189037
2026-11-04,92978,43793,179407,10622,16816,49185,-130222,-157660,59807
2026-11-05,284041,353976,187302,14218,18362,-69935,-257237,-289817,-55717
2026-11-06,171127,237130,6654,8328,12461,-66003,-72657,-93446,-57675
2026-11-07,43512,184076,69879,13964,20039,-140564,-210443,-244446,-126600
2026-11-08,377825,130237,35471,19417,2122,247588,212117,190578,267005
2026-11-09,712377,92722,184182,1665,12877,619655,435473,420931,621320
2026-11-10,213045,80513,8430,11467,2968,132532,124102,109667,143999
2026-11-11,363225,270216,177592,2155,9613,93009,-84583,-96351,95164
2026-11-12,402895,232732,106345,18044,22581,170163,63818,23193,188207
2026-11-13,565031,75983,131830,1677,8875,489048,357218,346666,490725
2026-11-14,271852,91256,199880,8429,27572,180596,-19284,-55285,189025
2026-11-15,484953,319001,149628,16310,27379,165952,16324,-27365,182262
2026-11-16,64444,337974,22869,2605,17916,-273530,-296399,-316920,-270925
2026-11-17,476397,376559,102849,11190,7054,99838,-3011,-21255,111028
2026-11-18,468542,320991,28118,9543,11098,147551,119433,98792,157094
2026-11-19,536618,171890,123190,5992,18973,364728,241538,216573,370720
2026-11-20,48428,202757,188549,5590,3107,-154329,-342878,-351575,-148739
2026-11-21,144209,367169,138305,5282,21844,-222960,-361265,-388391,-217678
2026-11-22,316589,257277,125326,18880,26174,59312,-66014,-111068,78192
2026-11-23,788073,68738,135946,12342,15825,719335,583389,555222,731677
2026-11-24,497709,140463,45354,10148,20360,357246,311892,281384,367394
2026-11-25,282117,171354,84942,10594,21885,110763,25821,-6658,121357
2026-11-26,613436,265843,93135,16671,22607,347593,254458,215180,364264
2026-11-27,704776,306862,101721,11087,12290,397914,296193,272816,409001
2026-11-28,671857,208703,78126,10251,13316,463154,385028,361461,473405
2026-11-29,690794,52410,173780,15604,2353,638384,464604,446647,653988
2026-11-30,670138,93992,139663,16252,14437,576146,436483,405794,592398
2026-12-01,755616,179435,93330,18135,22291,576181,482851,442425,594316
2026-12-02,79316,87066,180884,15002,730,-7750,-188634,-204366,7252
2026-12-03,664516,207317,199980,5238,22524,457199,257219,229457,462437
2026-12-04,602372,384133,48156,13026,11067,218239,170083,145990,231265
2026-12-05,675223,267700,8532,7473,17266,407523,398991,374252,414996
2026-12-06,135643,218060,50842,12130,24654,-82417,-133259,-170043,-70287
2026-12-07,619142,373769,166159,10752,8353,245373,79214,60109,256125
2026-12-08,236527,140761,58924,6317,21209,95766,36842,9316,102083
2026-12-09,93123,374027,23296,5687,12502,-280904,-304200,-322389,-275217
2026-12-10,117124,108625,121965,18197,15114,8499,-113466,-146777,26696
2026-12-11,211493,263507,68431,10581,29654,-52014,-120445,-160680,-41433
2026-12-12,334533,225467,5914,12783,10475,109066,103152,79894,121849
2026-12-13,522379,26030,109527,5251,26422,496349,386822,355149,501600
2026-12-14,706485,331461,116319,3605,27994,375024,258705,227106,378629
2026-12-15,635670,306925,88490,18917,16306,328745,240255,205032,347662
2026-12-16,702512,92311,101024,14711,24300,610201,509177,470166,624912
2026-12-17,493228,265047,168026,17242,15414,228181,60155,27499,245423
2026-12-18,674070,31652,184405,7107,29898,642418,458013,421008,649525
2026-12-19,690721,368472,14258,1276,2827,322249,307991,303888,323525
2026-12-20,308912,140255,184738,18249,14882,168657,-16081,-49212,186906
2026-12-21,360021,16700,115561,5041,23329,343321,227760,199390,348362
2026-12-22,667094,355671,72961,2516,10726,311423,238462,225220,313939
2026-12-23,691946,369722,190491,11104,29758,322224,131733,90871,333328
2026-12-24,649974,45085,185052,4191,10240,604889,419837,405406,609080
2026-12-25,776831,136702,22894,1391,4695,640129,617235,611149,641520
2026-12-26,67064,79503,176337,8455,5291,-12439,-188776,-202522,-3984
2026-12-27,119723,366306,38157,14520,18236,-246583,-284740,-317496,-232063
2026-12-28,92994,322398,98428,11714,21229,-229404,-327832,-360775,-217690
2026-12-29,307926,213866,21147,4109,8016,94060,72913,60788,98169
2026-12-30,247720,372527,126374,9768,12789,-124807,-251181,-273738,-115039
2026-12-31,393032,284228,192588,18723,29083,108804,-83784,-131590,127527
2027-01-01,243904,296861,45358,3721,12683,-52957,-98315,-114719,-49236
2027-01-02,69747,50904,140446,10726,26456,18843,-121603,-158785,29569
2027-01-03,649036,134652,91211,3265,26750,514384,423173,393158,517649
2027-01-04,624317,177899,165745,6854,15542,446418,280673,258277,453272
2027-01-05,151284,45304,61086,2720,6134,105980,44894,36040,108700
2027-01-06,306022,300249,186509,6521,15613,5773,-180736,-202870,12294
2027-01-07,318769,156969,103613,7517,19032,161800,58187,31638,169317
2027-01-08,201468,182124,14565,3129,13446,19344,4779,-11796,22473
2027-01-09,577684,239216,31555,10722,28523,338468,306913,267668,349190
2027-01-10,733666,143535,63016,12922,2067,590131,527115,512126,603053
2027-01-11,721995,44453,155565,3654,28033,677542,521977,490290,681196
2027-01-12,710255,214502,197826,10282,18963,495753,297927,268682,506035
2027-01-13,469442,381153,78616,8818,3452,88289,9673,-2597,97107
2027-01-14,180206,172432,78399,17193,29004,7774,-70625,-116822,24967
2027-01-15,383050,193910,64235,3649,1099,189140,124905,120157,192789
2027-01-16,276736,131659,121172,16694,2036,145077,23905,5175,161771
2027-01-17,780147,368487,137778,9481,23258,411660,273882,241143,421141
2027-01-18,718544,152779,9487,13129,19326,565765,556278,523823,578894
2027-01-19,51396,235789,115189,9430,28243,-184393,-299582,-337255,-174963
2027-01-20,484474,281967,77720,16907,15141,202507,124787,92739,219414
2027-01-21,470458,359816,121086,18347,18965,110642,-10444,-47756,128989
2027-01-22,263168,239281,110469,9861,4496,23887,-86582,-100939,33748
2027-01-23,737869,382283,26148,16568,4413,355586,329438,308457,372154
2027-01-24,73084,394763,56916,16732,26227,-321679,-378595,-421554,-304947
2027-01-25,632623,250233,35818,19694,11402,382390,346572,315476,402084
2027-01-26,225582,210578,84656,3613,2174,15004,-69652,-75439,18617
2027-01-27,376555,335802,59643,6345,25063,40753,-18890,-50298,47098
2027-01-28,306671,301487,160850,6785,2683,5184,-155666,-165134,11969
2027-01-29,586628,305309,191329,10675,25737,281319,89990,53578,291994
2027-01-30,498032,274551,128989,12502,10259,223481,94492,71731,235983
2027-01-31,513897,172608,81857,3727,11358,341289,259432,244347,345016
2027-02-01,126041,296105,65790,8069,9891,-170064,-235854,-253814,-161995
2027-02-02,428589,162761,105253,17864,27542,265828,160575,115169,283692
2027-02-03,719294,250569,157709,5198,18645,468725,311016,287173,473923
2027-02-04,658924,15589,63062,5979,9980,643335,580273,564314,649314
2027-02-05,148010,152094,128499,19689,13622,-4084,-132583,-165894,15605
2027-02-06,444961,194791,121122,2562,19709,250170,129048,106777,252732
2027-02-07,263377,158818,97944,5371,22231,104559,6615,-20987,109930
2027-02-08,153616,255473,94541,3114,6060,-101857,-196398,-205572,-98743
2027-02-09,426403,291171,153467,13645,673,135232,-18235,-32553,148877
2027-02-10,294405,169654,75541,10809,2383,124751,49210,36018,135560
2027-02-11,111489,182713,63859,9723,16466,-71224,-135083,-161272,-61501
2027-02-12,111535,252415,175071,576,4274,-140880,-315951,-320801,-140304
2027-02-13,160445,384632,147305,714,27648,-224187,-371492,-399854,-223473
2027-02-14,81980,11902,182824,16064,13354,70078,-112746,-142164,86142
2027-02-15,425632,14494,169086,14636,19559,411138,242052,207857,425774
2027-02-16,298611,348670,46224,12198,7488,-50059,-96283,-115969,-37861
2027-02-17,84333,214958,167062,16250,21464,-130625,-297687,-335401,-114375
2027-02-18,706853,27479,123790,5289,29403,679374,555584,520892,684663
2027-02-19,619588,189558,113456,14568,16162,430030,316574,285844,444598
2027-02-20,282230,288192,95506,1075,2677,-5962,-101468,-105220,-4887
2027-02-21,579723,363034,112164,12580,12322,216689,104525,79623,229269
2027-02-22,367736,85798,139071,16944,27569,281938,142867,98354,298882
2027-02-23,119538,244144,171782,18942,29766,-124606,-296388,-345096,-105664
2027-02-24,624602,21416,60937,3783,5888,603186,542249,532578,606969
2027-02-25,232636,355071,133180,10614,29351,-122435,-255615,-295580,-111821
2027-02-26,581981,381341,47108,18150,1767,200640,153532,133615,218790
2027-02-27,670778,41074,30562,17427,24447,629704,599142,557268,647131
2027-02-28,600147,71728,148257,11749,7132,528419,380162,361281,540168
2027-03-01,299642,354177,94291,4259,16294,-54535,-148826,-169379,-50276
2027-03-02,516996,352030,106848,16255,10129,164966,58118,31734,181221
2027-03-03,354819,182101,116964,13363,9508,172718,55754,32883,186081
2027-03-04,162330,241864,75455,4299,25150,-79534,-154989,-184438,-75235
2027-03-05,502499,324256,46624,9447,681,178243,131619,121491,187690
2027-03-06,586190,73521,22738,16537,6613,512669,489931,466781,529206
2027-03-07,267992,207131,66713,14642,759,60861,-5852,-21253,75503
2027-03-08,749677,169312,22379,7015,19962,580365,557986,531009,587380
2027-03-09,342047,324486,103962,16481,21105,17561,-86401,-123987,34042
2027-03-10,480131,331426,169269,14638,1006,148705,-20564,-36208,163343
2027-03-11,550457,94540,52384,3002,9520,455917,403533,391011,458919
2027-03-12,496589,371638,152701,16775,17441,124951,-27750,-61966,141726
2027-03-13,278596,379932,126542,16565,20923,-101336,-227878,-265366,-84771
2027-03-14,296095,314792,70781,16514,22256,-18697,-89478,-128248,-2183
2027-03-15,781469,54533,152043,10868,25026,726936,574893,538999,737804
2027-03-16,604604,86064,106651,6266,8329,518540,411889,397294,524806
2027-03-17,318849,129878,101714,11583,28234,188971,87257,47440,200554
2027-03-18,709478,337099,22418,18010,29561,372379,349961,302390,390389
2027-03-19,418732,238624,67127,598,3509,180108,112981,108874,180706
2027-03-20,23386,210622,157656,14638,28399,-187236,-344892,-387929,-172598
2027-03-21,745877,171403,109857,8390,18127,574474,464617,438100,582864
2027-03-22,221416,245263,192042,3299,20441,-23847,-215889,-239629,-20548
2027-03-23,234509,18712,192299,3333,2960,215797,23498,17205,219130
2027-03-24,279494,259414,168742,693,3513,20080,-148662,-152868,20773
2027-03-25,543183,75439,105438,19897,14729,467744,362306,327680,487641
2027-03-26,214819,339073,127321,1080,17665,-124254,-251575,-270320,-123174
2027-03-27,273932,383055,189886,1857,8629,-109123,-299009,-309495,-107266
2027-03-28,537120,398175,184403,11682,4353,138945,-45458,-61493,150627
2027-03-29,239085,207617,171690,15714,19070,31468,-140222,-175006,47182
2027-03-30,362396,81114,120083,1991,6876,281282,161199,152332,283273
2027-03-31,96241,382577,83382,12001,8642,-286336,-369718,-390361,-274335
2027-04-01,323333,190400,78456,18981,27524,132933,54477,7972,151914
2027-04-02,301537,363737,153227,14061,24665,-62200,-215427,-254153,-48139
2027-04-03,726749,260546,176736,10354,997,466203,289467,278116,476557
2027-04-04,784557,136230,174147,19561,20238,648327,474180,434381,667888
2027-04-05,580473,346483,21173,1979,24764,233990,212817,186074,235969
2027-04-06,799579,49636,75891,2447,2886,749943,674052,668719,752390
2027-04-07,542826,353039,20479,6488,15970,189787,169308,146850,196275
2027-04-08,583863,17175,99289,8749,804,566688,467399,457846,575437
2027-04-09,564601,310358,57717,9625,4430,254243,196526,182471,263868
2027-04-10,321999,308465,167821,15030,20687,13534,-154287,-190004,28564
2027-04-11,427277,42631,97235,17403,9572,384646,287411,260436,402049
2027-04-12,478172,97940,42172,19396,23789,380232,338060,294875,399628
2027-04-13,250569,57995,91474,18093,2394,192574,101100,80613,210667
2027-04-14,618597,309368,77841,12092,10144,309229,231388,209152,321321
2027-04-15,120931,184107,63311,2573,22005,-63176,-126487,-151065,-60603
2027-04-16,478449,246887,158106,662,28896,231562,73456,43898,232224
2027-04-17,510445,385481,174323,7462,20688,124964,-49359,-77509,132426
2027-04-18,191562,43234,138781,17110,24748,148328,9547,-32311,165438
2027-04-19,644144,324386,100746,2214,6922,319758,219012,209876,321972
2027-04-20,502394,345833,65525,6753,14828,156561,91036,69455,163314
2027-04-21,434418,61337,16447,5382,20672,373081,356634,330580,378463
2027-04-22,619906,395845,81709,18566,8983,224061,142352,114803,242627
2027-04-23,620700,321953,192681,5726,9684,298747,106066,90656,304473
2027-04-24,210700,313510,40156,10943,10340,-102810,-142966,-164249,-91867
2027-04-25,120728,211475,165127,12818,25674,-90747,-255874,-294366,-77929
2027-04-26,654172,344554,32184,19090,21112,309618,277434,237232,328708
2027-04-27,229840,303191,88162,18729,10956,-73351,-161513,-191198,-54622
2027-04-28,733068,217858,66780,14055,23597,515210,448430,410778,529265
2027-04-29,643108,329780,45262,9125,1948,313328,268066,256993,322453
2027-04-30,385851,365678,137866,1659,25885,20173,-117693,-145237,21832
2027-05-01,169431,119540,27028,14809,16363,49891,22863,-8309,64700
2027-05-02,699896,110787,95968,4272,9135,589109,493141,479734,593381
2027-05-03,579858,347203,13459,16492,18278,232655,219196,184426,249147
2027-05-04,430671,397261,75460,14431,14282,33410,-42050,-70763,47841
2027-05-05,445864,47208,180276,4072,5257,398656,218380,209051,402728
2027-05-06,191450,287549,174733,17644,23834,-96099,-270832,-312310,-78455
2027-05-07,430914,290444,34041,4180,20330,140470,106429,81919,144650
2027-05-08,605174,316918,28125,1843,27150,288256,260131,231138,290099
2027-05-09,404993,23091,189367,11260,18380,381902,192535,162895,393162
2027-05-10,182555,259402,127923,3640,9836,-76847,-204770,-218246,-73207
2027-05-11,519430,165974,156111,5218,17152,353456,197345,174975,358674
